"Авторы книги","Название книги","Адрес обложки"
"Франц Кафка","Процесс","https://s.bookmix.ru/books/8/9/3/thumbnails/tn_protsess1_1711420569.jpeg"
"Алексей Зверев, Владимир Туниманов","Лев Толстой","https://s.bookmix.ru/books/3/8/8/thumbnails/tn_Lev_Tolstoj_1388.jpg"
"В. Н. Смирнов","«Холмгардская Русь», или Первое древнерусское государство. О древнерусском государстве варягов-русь, существовавшем в V-XII вв. н.э.. Историко-этимологическое исследование","https://s.bookmix.ru/books/0/9/4/thumbnails/tn_holmgardskayarusilipervoedrevnerusskoegosudarstvoodrevnerusskomgosudarstvevaryagovrussushchestvovavs7_1594348395.jpg"
"Ларс Кеплер","Гипнотизер","https://s.bookmix.ru/books/2/0/0/thumbnails/tn_gipnotizer1_1616985851.jpg"
"Ларс Кеплер","Призраки не лгут","https://s.bookmix.ru/books/7/4/7/thumbnails/tn_Prizraki_ne_lgut_2747.jpg"
"Корней Чуковский","Живой как жизнь","https://s.bookmix.ru/books/7/6/9/thumbnails/tn_zhivoykakzhizn8_1721180085.jpeg"
"Артур Конан Дойл","Отравленный пояс","https://s.bookmix.ru/books/4/4/5/thumbnails/tn_Otravlennyj_poyas1445.jpg"
"Михайловна Богодяж Алла","Магия общения","https://s.bookmix.ru/books/7/5/9/thumbnails/tn_magiyaobshcheniya6_1733385015.png"
"Эвелин Скай","Сто историй любви Джульетты","https://s.bookmix.ru/books/2/9/2/thumbnails/tn_stoistoriylyubvidzhuletty3_1722314781.jpeg"
"Джоди Пиколт","Девятнадцать минут","https://s.bookmix.ru/books/3/4/4/thumbnails/tn_devyatnadtsatminut_oz_0_1600294181.jpg"
"Дарья Варламова, Антон Зайниев","С ума сойти! Путеводитель по психическим расстройствам для жителя большого города","https://s.bookmix.ru/books/3/8/1/thumbnails/tn_sumasoytiputevoditelpopsihicheskimrasstroystvamdlyazhitelyabolshogogorodanovoedopolnennoeizdanie_oz_6_1652927225.jpg"
"Денис Джонсон","Сны поездов","https://s.bookmix.ru/books/1/1/8/thumbnails/tn_snypoezdov_oz_4_1647140966.jpg"
"Михайловна Богодяж Алла","Магия общения","https://s.bookmix.ru/books/7/5/9/thumbnails/tn_magiyaobshcheniya6_1733385015.png"
