"Авторы книги","Название книги"
"Франц Кафка","Процесс"
"Инна Демина","Предчувствие и доверие судьбе"
"Алексей Зверев, Владимир Туниманов","Лев Толстой"
"А. С. Пушкин","А. Пушкин. Дубровский"
"Эмманюэль Ле Руа Ладюри","Монтайю, окситанская деревня (1294 - 1324)"
"В. Н. Смирнов","«Холмгардская Русь», или Первое древнерусское государство. О древнерусском государстве варягов-русь, существовавшем в V-XII вв. н.э.. Историко-этимологическое исследование"
"Хендрикс Грейди","Руководство по истреблению вампиров от книжного клуба Южного округа"
"Ларс Кеплер","Гипнотизер"
"Ларс Кеплер","Призраки не лгут"
"Корней Чуковский","Живой как жизнь"
"Артур Конан Дойл","Отравленный пояс"
"Михайловна Богодяж Алла","Магия общения"
"Кристен Перрин","Опасная игра бабули. Руководство по раскрытию собственного убийства"
"Эвелин Скай","Сто историй любви Джульетты"
"Люк Перино","Нулевой пациент. Случаи больных, благодаря которым гениальные врачи стали известными"
"Джоди Пиколт","Девятнадцать минут"
"Дарья Варламова, Антон Зайниев","С ума сойти! Путеводитель по психическим расстройствам для жителя большого города"
"Денис Джонсон","Сны поездов"
"Леон Богданов","Заметки о чаепитии и землетрясениях"
"Михайловна Богодяж Алла","Магия общения"
